metric,split0,split1,split2,split3,split4,split5
out_dinov2_full,0.0460589966461806,0.5847981306612875,0.5291109938141598,0.1972578341310577,0.7383091163257514,0.7826690568905568
out_dists,0.2531221356049711,0.3480021717818034,0.6266300073214038,0.413235867155855,0.4858732255701558,0.5094301141353406
out_dreamsim_schemaA,0.3772107888428415,0.817460650427826,0.7317704573335834,0.7343178909963447,0.8589981850722712,0.890780517470166
out_lpips,0.5069271887878922,0.318316563607015,0.4786873126338272,0.3895186676984745,0.5152678012172073,0.524775443686301
out_openclip_full,0.2707515264135312,0.7141873004695429,0.5035293366847245,0.5408139916946558,0.7217163020061556,0.8020600383797153
out_refclip,0.0301372808883698,0.7539559949653039,0.6564992285360177,0.5473219724965012,0.8136800767498338,0.8365637952166145
out_siglip_full,0.3717221549756141,0.6462778184775688,0.4028427641237415,0.4461678325041081,0.5818926199518349,0.7228764204030125
out_traditional_full,0.1968067286677272,0.0153335490746705,-0.029392375381903,0.2348281044579381,-0.0340205261170692,-0.0509046063450169
